"species","enc_id","sr","site","startrec","endrec","starttime","dur","n","SNR","noiselevel","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81"
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",0,4,186,41.1474407,0,0.00718762,0.007299399,0.007389861,0.007612276,0.007804962,0.008015983,0.008378802,0.008617794,0.008752542,0.008866216,0.008962454,0.009119426,0.009325287,0.009600078,0.009863106,0.010102823,0.010287939,0.010404818,0.010589152,0.010776595,0.010929452,0.011020533,0.011111027,0.011287745,0.011476247,0.011644581,0.01177259,0.01184694,0.011925936,0.012025116,0.012164902,0.012319218,0.012452784,0.012599374,0.012743091,0.012883836,0.013022326,0.013154615,0.013286565,0.01340364,0.013501736,0.013613959,0.013734818,0.013871295,0.013993726,0.014111436,0.014229417,0.014345875,0.014464705,0.014546555,0.014644175,0.014722566,0.014780459,0.014851893,0.014918431,0.014963512,0.014969295,0.014981306,0.014968435,0.014941897,0.014902823,0.014863846,0.014836783,0.014758472,0.014667818,0.01457496,0.014460664,0.014323786,0.014170825,0.014014055,0.013843395,0.013692367,0.013550203,0.013373779,0.013166415,0.012973188,0.012816102,0.012663282,0.012513501,0.012385086,0.012265504
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",1,4,172,45.61236245,0,0.007716929,0.007799859,0.007934428,0.008158852,0.008325502,0.008518604,0.008804732,0.009016823,0.009200683,0.009382486,0.009482351,0.009611327,0.009800475,0.010023015,0.010231888,0.010466848,0.010709894,0.010858442,0.010973797,0.011103787,0.011250352,0.011350436,0.011446965,0.011610075,0.011777915,0.011904663,0.01197214,0.011999164,0.012061807,0.012151852,0.012261479,0.012392595,0.012520525,0.012646487,0.01277707,0.012925135,0.013053963,0.013151376,0.013259913,0.013361157,0.013426969,0.013507408,0.013634576,0.013788646,0.013903474,0.013997379,0.014104346,0.014203648,0.014297786,0.014359997,0.014451813,0.014515064,0.014542079,0.014579287,0.014622349,0.014645764,0.0146344,0.014641486,0.014627609,0.01458826,0.014528685,0.014486812,0.014456791,0.0143697,0.014279091,0.014199848,0.014083902,0.013929808,0.013775493,0.013635364,0.013470907,0.013312918,0.013179882,0.013019276,0.012806804,0.012588574,0.012428839,0.012290036,0.012138974,0.012021698,0.011928467
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",2,4,162,49.23088596,0,0.007971249,0.007972566,0.008096248,0.00831613,0.008438075,0.00864538,0.008946818,0.009167197,0.009314706,0.009496595,0.009657486,0.009805138,0.01001147,0.010223797,0.01040494,0.010592324,0.010797365,0.010962661,0.011074952,0.011231643,0.011415052,0.01153227,0.011657002,0.011815768,0.011937698,0.01203155,0.012114883,0.012186101,0.012274502,0.012352047,0.012427001,0.012507991,0.012592942,0.012689462,0.012783357,0.012906744,0.013014936,0.013072358,0.01316456,0.013266458,0.013337956,0.013412492,0.013511082,0.013632735,0.013733664,0.01379885,0.013874085,0.013938497,0.014007653,0.014091876,0.014175499,0.014249843,0.014271967,0.014267352,0.014308137,0.014342246,0.014347529,0.014355457,0.014337507,0.014318549,0.014296325,0.014278467,0.01424282,0.014179783,0.01411499,0.014062576,0.01396741,0.013842774,0.013734216,0.013619753,0.013500448,0.013361461,0.013233162,0.013087851,0.012896435,0.01270776,0.01256495,0.012440386,0.012312341,0.012218362,0.012155331
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",3,4,177,50.47804378,0,0.008098888,0.008135769,0.008286409,0.00851955,0.008643725,0.008805454,0.009022609,0.00922687,0.009409731,0.009636057,0.009848204,0.009988934,0.010152184,0.010322013,0.01050555,0.010706356,0.010908011,0.011077246,0.011212008,0.011380121,0.011556681,0.011687933,0.011798863,0.011957237,0.012087167,0.012186599,0.012277795,0.012336526,0.012458857,0.012557964,0.01264472,0.012720768,0.012751908,0.012798559,0.01284448,0.012930976,0.012995719,0.013016652,0.013068767,0.013143493,0.013199148,0.013249744,0.013339005,0.013427987,0.013505585,0.013537794,0.013586286,0.013627051,0.013677119,0.013774959,0.013838253,0.013906245,0.013956776,0.013974386,0.014022623,0.014067661,0.014086898,0.01410194,0.014106307,0.014084598,0.014070491,0.014059237,0.014051257,0.014012781,0.013949602,0.013937356,0.013876015,0.013783445,0.013707973,0.013613682,0.013516045,0.01340113,0.013306307,0.013196699,0.013050054,0.012907297,0.012801568,0.012673668,0.012536182,0.012429465,0.012342031
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",4,4,198,53.01328617,0,0.008293695,0.008326744,0.008469827,0.008669516,0.008786091,0.008941309,0.009084299,0.00922478,0.009405714,0.009633927,0.009824502,0.009934788,0.010056995,0.010220356,0.01037893,0.010539959,0.010754226,0.010927209,0.01105683,0.011195001,0.011329331,0.011437681,0.011536467,0.011675965,0.011826273,0.011943494,0.012052619,0.012126452,0.012246374,0.012351773,0.012425647,0.012465364,0.012482503,0.012516346,0.012562056,0.012636488,0.012706014,0.012778974,0.012881189,0.012989867,0.013075821,0.013157913,0.013275899,0.013388535,0.013454796,0.013509154,0.013583142,0.013631735,0.013693256,0.01380223,0.013881176,0.013959309,0.014014369,0.014054223,0.01411732,0.014158332,0.014183565,0.014199246,0.014198277,0.014193888,0.014197303,0.014193867,0.014186602,0.014135747,0.014070585,0.014062991,0.014007015,0.013934151,0.013859984,0.013776675,0.013712865,0.013614293,0.013530465,0.013459327,0.01334227,0.013219962,0.013109505,0.013006169,0.012907871,0.012777869,0.012666715
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",5,4,191,52.828842,0,0.008204345,0.008278526,0.008389861,0.008533926,0.008630563,0.00875995,0.008929843,0.009118698,0.009306117,0.009487647,0.009646261,0.009768256,0.009895792,0.01006717,0.010254073,0.010418077,0.010609912,0.010771756,0.010921166,0.011066247,0.011191401,0.01130741,0.011425143,0.011563159,0.011696509,0.011824198,0.011967765,0.012065097,0.0121938,0.012310683,0.012401426,0.012443885,0.012459976,0.012504915,0.012551844,0.01261472,0.012691137,0.012783853,0.012893641,0.013005775,0.013107338,0.013208101,0.013319015,0.013414645,0.013481546,0.013550551,0.013628701,0.013680884,0.013749865,0.013861502,0.013924031,0.013995308,0.014064379,0.014120392,0.014192637,0.01424436,0.014280337,0.014296094,0.014288863,0.014286831,0.014301352,0.014297983,0.014292445,0.01424894,0.01418635,0.014173021,0.014119336,0.014059411,0.013988141,0.013897227,0.013838017,0.013752389,0.013664156,0.013579264,0.013464766,0.013368199,0.013266684,0.013145318,0.013036634,0.012896463,0.012774001
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",6,4,176,51.665328,0,0.008222797,0.008286923,0.008393052,0.008539301,0.008666222,0.008791813,0.008953086,0.009165128,0.00938856,0.009554842,0.009661134,0.009755701,0.009881014,0.010044975,0.010219386,0.010373841,0.010555736,0.01072039,0.010902343,0.011009695,0.011058865,0.011160893,0.011281601,0.011428343,0.011627164,0.011802974,0.011956041,0.012050242,0.012159303,0.012273415,0.012376048,0.012454187,0.012505835,0.012560833,0.012633725,0.012706977,0.012788785,0.012919593,0.013034515,0.013142897,0.013259684,0.013372836,0.013496385,0.013587537,0.01365223,0.013733954,0.013821086,0.013878421,0.01393433,0.014039809,0.01411021,0.014175648,0.014248035,0.014313686,0.01436729,0.014402359,0.014431008,0.014427066,0.014401122,0.014377399,0.014369518,0.014342237,0.014317283,0.014252486,0.014162419,0.014111117,0.014015704,0.013935003,0.01385188,0.013746177,0.013639686,0.01352322,0.013435388,0.013343179,0.013208752,0.01307714,0.012946557,0.012825774,0.012752581,0.012615757,0.012489877
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",7,4,164,50.79548953,0,0.008347406,0.008416753,0.008484399,0.008613355,0.008755701,0.008864641,0.009022175,0.009209034,0.00940931,0.009502538,0.009513237,0.009653858,0.009846747,0.009974654,0.01008907,0.010240912,0.01037996,0.010517431,0.010684555,0.010777767,0.010845396,0.010933167,0.011025993,0.011173734,0.011411541,0.011575035,0.011699353,0.011818115,0.011942935,0.012063416,0.012174904,0.012242656,0.012350898,0.012449101,0.012555782,0.012672995,0.012818842,0.01299728,0.013162777,0.013302722,0.01344742,0.0135974,0.013727086,0.013821361,0.013875491,0.013977154,0.014090444,0.014167634,0.014232501,0.014306707,0.014382046,0.014448645,0.014513183,0.014582651,0.01463588,0.014647429,0.014656897,0.014653031,0.014611061,0.014569063,0.014531333,0.014484846,0.014438105,0.014366618,0.014284483,0.014202595,0.014091849,0.013992232,0.013869464,0.013736678,0.013606752,0.013468755,0.013336858,0.013171084,0.012956154,0.012764472,0.012614951,0.012529096,0.012486505,0.012353244,0.012250698
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",8,4,159,55.55677788,0,0.008733342,0.008756697,0.008776865,0.008964874,0.009146911,0.009253109,0.009460786,0.009701012,0.009828379,0.009858873,0.009893085,0.010103143,0.010325137,0.010419688,0.010518212,0.010665662,0.010744625,0.010875839,0.011034417,0.011131687,0.011229909,0.011341628,0.011436832,0.011581395,0.01179001,0.011927067,0.012021152,0.012121149,0.012236046,0.012320914,0.012405562,0.012489922,0.01260649,0.012703978,0.012784387,0.012883214,0.012996199,0.013091136,0.013169989,0.013249432,0.013349854,0.013452979,0.013542313,0.01360693,0.013660987,0.013714874,0.013771798,0.013824747,0.01387117,0.013922416,0.013983441,0.014043752,0.014108869,0.014165894,0.014210528,0.014237142,0.014250758,0.014247626,0.014212733,0.014168738,0.014129824,0.014082624,0.014042194,0.014001447,0.013933433,0.013843682,0.013745682,0.013658535,0.013562454,0.0134476,0.01330722,0.013169412,0.013034907,0.012855803,0.012658018,0.012475179,0.012359686,0.012299138,0.012243078,0.012142016,0.012081768
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",9,4,186,54.75085262,0,0.008707961,0.008687104,0.008726331,0.008990645,0.009182303,0.009315341,0.009494682,0.009701051,0.009856458,0.009970772,0.010082673,0.01029427,0.010505415,0.010604157,0.010689647,0.010824965,0.010937297,0.011091038,0.01125674,0.011357837,0.011445352,0.011536156,0.011613309,0.011750082,0.011934644,0.012035944,0.012087553,0.012171331,0.012305231,0.01241484,0.012509857,0.012583772,0.012669336,0.012740896,0.012802522,0.012898465,0.013025534,0.013117176,0.013173226,0.013234834,0.013328275,0.01341435,0.013482431,0.013520338,0.013562188,0.013618481,0.013678905,0.013735208,0.013783169,0.013835048,0.013895571,0.013952461,0.014011747,0.014065322,0.014097791,0.014091717,0.014065779,0.014058741,0.014050451,0.014038452,0.014018251,0.013968706,0.013904824,0.013838182,0.013779511,0.013709163,0.013608644,0.013499653,0.013385809,0.013273832,0.013161858,0.013048675,0.012928612,0.012782163,0.012630014,0.012483951,0.012385877,0.012350468,0.012307687,0.012199078,0.012121868
