"eventID","clickFrames","whistleFrames","duration","predictedSpecies","score","prom","conf","barcode","De. delphis","Gr. griseus","Gl. melas","La. acutus","La. albirostris","Or. orca","Tu. truncatus","label"
"20190524T214000.wav",50,0,529.195999860764,"Gr. griseus",0.003824,0.00800000000000001,0.478,"005600410112151511141614",0.006,0.478,0.01,0.01,0.47,0.01,0.016,"aaaa"
"20190528T004000.wav",51,0,533.740999937057,"Gr. griseus",0.191684,0.346,0.554,"006200201712151214161413",0.03,0.554,0.01,0.082,0.208,0.024,0.092,"aaaa"
"20190528T011000.wav",1,1,347.367999792099,"Gr. griseus",0.042048,0.096,0.438,"009900000010120505310628",0.042,0.438,0.036,0.03,0.342,0.024,0.088,"aaaa"
"20190713T050000.wav",0,4,381.833999872208,"Tu. truncatus",0.02208,0.06,0.368,"182017202319040607080349",0.178,0.074,0.054,0.308,0.006,0.012,0.368,"aaaa"
"20190713T053000.wav",46,7,561.417999982834,"Tu. truncatus",0.055772,0.146,0.382,"392422001214150607100935",0.206,0.236,0.084,0.074,0.006,0.012,0.382,"aaaa"
"20190713T060000.wav",80,114,586.892999887466,"Tu. truncatus",0.158112,0.324,0.488,"421823011411161112061229",0.16,0.164,0.094,0.078,0.002,0.014,0.488,"aaaa"
"20190713T063000.wav",0,1,0,"Tu. truncatus",0.072732,0.174,0.418,"191919182204070303070271",0.126,0.066,0.098,0.244,0.002,0.046,0.418,"aaaa"
"20190711T003000.wav",3,4,466.667000055313,"Gr. griseus",0.0549,0.15,0.366,"592209020513200508161520",0.216,0.366,0.082,0.086,0.084,0.012,0.154,"aaaa"
"20190711T010000.wav",63,18,591.611000061035,"Tu. truncatus",0.000568,0.002,0.284,"391132021418140609040541",0.282,0.174,0.1,0.132,0.008,0.02,0.284,"bbbb"
"20190706T223000.wav",0,16,491.498999834061,"La. acutus",0.2508,0.418,0.6,"182217231719110820270210",0.182,0.06,0.016,0.6,0.038,0.002,0.102,"bbbb"
"20190706T230000.wav",1,22,416.789999961853,"Gr. griseus",0.223852,0.382,0.586,"115416001711171510140823",0.06,0.586,0.07,0.072,0.002,0.006,0.204,"bbbb"
"20190702T213000.wav",6,0,267.932000160217,"Gr. griseus",0.1422,0.3,0.474,"392921000813151714121413",0.174,0.474,0.1,0.092,0.018,0.008,0.134,"bbbb"
"20190702T220000.wav",12,16,547.091000080109,"Tu. truncatus",0.17136,0.34,0.504,"491614011705140804001352",0.164,0.116,0.106,0.05,0.002,0.058,0.504,"bbbb"
